,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_ARTEMIS_DENSITY,SCALED_ARTEMIS_MAG_AVG
97,2017-03-21 10:00:00+00:00,-7.0,103.9,9.5,527.0,14.0,2017-03-21 11:00:00+00:00,11.165000000000001,11.178333333333335,514.0500000000001,1.0,-7.0,104.79999999999997,2017-03-21 10:00:00+00:00,1,0.0,0.899999999999963,11.178333333333335,11.165000000000001
98,2017-03-21 11:00:00+00:00,-7.0,104.0,10.9,526.0,11.7,2017-03-21 12:00:00+00:00,9.812857142857142,9.782857142857141,526.6571428571427,1.0,-7.0,104.79999999999997,2017-03-21 11:00:00+00:00,1,0.0,0.7999999999999687,9.782857142857141,9.812857142857142
99,2017-03-21 12:00:00+00:00,-7.0,104.0,9.7,527.0,9.9,2017-03-21 13:00:00+00:00,10.348571428571429,8.617142857142857,528.9285714285714,1.0,-7.0,104.79999999999997,2017-03-21 12:00:00+00:00,1,0.0,0.7999999999999687,8.617142857142857,10.348571428571429
100,2017-03-21 13:00:00+00:00,-7.0,104.1,10.4,524.0,8.6,2017-03-21 14:00:00+00:00,11.921666666666667,6.835,540.75,1.0,-7.0,104.79999999999997,2017-03-21 13:00:00+00:00,1,0.0,0.6999999999999744,6.835,11.921666666666667
101,2017-03-21 14:00:00+00:00,-7.0,104.1,11.1,556.0,6.6,2017-03-21 15:00:00+00:00,10.134285714285715,7.045714285714285,580.3142857142857,1.0,-7.0,104.79999999999997,2017-03-21 14:00:00+00:00,1,0.0,0.6999999999999744,7.045714285714285,10.134285714285715
102,2017-03-21 15:00:00+00:00,-7.0,104.2,8.6,600.0,8.5,2017-03-21 16:00:00+00:00,9.555,7.785,601.1666666666664,1.0,-7.0,104.79999999999997,2017-03-21 15:00:00+00:00,1,0.0,0.5999999999999659,7.785,9.555
103,2017-03-21 16:00:00+00:00,-7.0,104.2,9.7,594.0,8.4,2017-03-21 17:00:00+00:00,9.829999999999998,7.844285714285713,591.9142857142857,1.0,-7.0,104.79999999999997,2017-03-21 16:00:00+00:00,1,0.0,0.5999999999999659,7.844285714285713,9.829999999999998
104,2017-03-21 17:00:00+00:00,-7.0,104.2,10.4,587.0,7.9,2017-03-21 18:00:00+00:00,12.091666666666669,6.348333333333332,565.7333333333332,1.0,-7.0,104.79999999999997,2017-03-21 17:00:00+00:00,1,0.0,0.5999999999999659,6.348333333333332,12.091666666666669
105,2017-03-21 18:00:00+00:00,-7.0,104.3,11.8,570.0,6.3,2017-03-21 19:00:00+00:00,11.93714285714286,6.035714285714286,591.0285714285714,1.0,-7.0,104.79999999999997,2017-03-21 18:00:00+00:00,1,0.0,0.4999999999999716,6.035714285714286,11.93714285714286
106,2017-03-21 19:00:00+00:00,-7.0,104.3,11.0,595.0,6.6,2017-03-21 20:00:00+00:00,10.586666666666666,6.551666666666667,626.3833333333333,1.0,-7.0,104.79999999999997,2017-03-21 19:00:00+00:00,1,0.0,0.4999999999999716,6.551666666666667,10.586666666666666
107,2017-03-21 20:00:00+00:00,-7.0,104.4,9.8,626.0,7.9,2017-03-21 21:00:00+00:00,11.634285714285713,6.96,600.9428571428572,1.0,-7.0,104.79999999999997,2017-03-21 20:00:00+00:00,1,0.0,0.39999999999996305,6.96,11.634285714285713
108,2017-03-21 21:00:00+00:00,-7.0,104.4,11.6,619.0,8.1,2017-03-21 22:00:00+00:00,11.384999999999998,7.410000000000001,619.7166666666668,1.0,-7.0,104.79999999999997,2017-03-21 21:00:00+00:00,1,0.0,0.39999999999996305,7.410000000000001,11.384999999999998
109,2017-03-21 22:00:00+00:00,-7.0,104.4,10.7,614.0,8.0,2017-03-21 23:00:00+00:00,11.39066666666667,7.094000000000002,597.38,1.0,-7.0,104.80000000000004,2017-03-21 22:00:00+00:00,1,0.0,0.4000000000000341,7.094000000000002,11.39066666666667
110,2017-03-21 23:00:00+00:00,-7.0,104.5,11.6,598.0,7.8,2017-03-22 00:00:00+00:00,12.064230769230774,6.638846153846154,588.2346153846153,1.0,-7.0,105.8000000000001,2017-03-21 23:00:00+00:00,1,0.0,1.3000000000000966,6.638846153846154,12.064230769230774
111,2017-03-22 00:00:00+00:00,-7.0,104.5,12.4,584.0,7.4,2017-03-22 01:00:00+00:00,12.113529411764711,6.376470588235293,578.5882352941177,1.0,-7.0,105.80000000000007,2017-03-22 00:00:00+00:00,1,0.0,1.3000000000000682,6.376470588235293,12.113529411764711
115,2017-03-22 04:00:00+00:00,-7.0,104.7,8.2,613.0,3.8,2017-03-22 05:00:00+00:00,7.608333333333332,3.396666666666667,624.6,1.0,-7.0,105.79999999999997,2017-03-22 04:00:00+00:00,1,0.0,1.099999999999966,3.396666666666667,7.608333333333332
116,2017-03-22 05:00:00+00:00,-7.0,104.7,7.9,630.0,3.9,2017-03-22 06:00:00+00:00,7.856666666666666,3.5949999999999993,623.75,1.0,-7.0,105.79999999999997,2017-03-22 05:00:00+00:00,1,0.0,1.099999999999966,3.5949999999999993,7.856666666666666
117,2017-03-22 06:00:00+00:00,-7.0,104.8,7.6,632.0,4.2,2017-03-22 07:00:00+00:00,7.748571428571428,3.898571428571429,609.3,1.0,-7.0,105.79999999999997,2017-03-22 06:00:00+00:00,1,0.0,0.9999999999999716,3.898571428571429,7.748571428571428
118,2017-03-22 07:00:00+00:00,-7.0,104.8,8.0,626.0,4.4,2017-03-22 08:00:00+00:00,8.801666666666668,3.3416666666666655,624.9333333333333,1.0,-7.0,105.79999999999997,2017-03-22 07:00:00+00:00,1,0.0,0.9999999999999716,3.3416666666666655,8.801666666666668
119,2017-03-22 08:00:00+00:00,-7.0,104.9,9.1,634.0,4.2,2017-03-22 09:00:00+00:00,8.087142857142855,3.5700000000000003,635.8,1.0,-7.0,105.79999999999997,2017-03-22 08:00:00+00:00,1,0.0,0.899999999999963,3.5700000000000003,8.087142857142855
120,2017-03-22 09:00:00+00:00,-7.0,104.9,7.4,646.0,4.2,2017-03-22 10:00:00+00:00,7.550000000000001,3.231666666666667,656.9000000000001,1.0,-7.0,105.79999999999997,2017-03-22 09:00:00+00:00,1,0.0,0.899999999999963,3.231666666666667,7.550000000000001
121,2017-03-22 10:00:00+00:00,-7.0,104.9,7.1,665.0,3.8,2017-03-22 11:00:00+00:00,7.430000000000001,2.473333333333333,670.6,1.0,-7.0,105.8,2017-03-22 10:00:00+00:00,1,0.0,0.8999999999999915,2.473333333333333,7.430000000000001
